Silný symbol, ktorý uctieva ľudí, ktorí obetovali na bojisku a domovom fronte, veľká vonkajšia pomník obsahuje citáty a umelecké diela, ktoré sa týkajú nesmiernosti a dôležitosti spojeneckého víťazstva v najväčšom konflikte v ľudskej histórii.	A powerful symbol honoring the people who sacrificed on the battlefront and the home front, the large outdoor memorial contains quotations and artwork that relate the immensity and importance of the Allied victory in the largest conflict in human history.	formal
Dám vám ešte chvíľku na vybratie.	I'll give you guys another minute.	informal
Účastníci si mali čo povedať.	Activists had something to say.	informal
Skutočne vzdelaný človek je ten, kto sa vzdeláva aj po hodinách a rokoch strávených v triede, lebo je motivovaný zvnútra, a to prirodzenou zvedavosťou a láskou k poznaniu.	A truly educated individual continues learning long after the hours and years she spends in the classroom because she is motivated from within by a natural curiosity and love for knowledge.	formal
V záujme zlepšenia transparentnosti spoločnej politiky rybného hospodárstva by mali členské štáty poskytovať Komisii informácie o prípadoch takéhoto správania a o krokoch, ktoré členské štáty uskutočnili.	in order to improve transparency in the common fisheries policy, Member States should provide the Commission with information on instances of such behaviour and action taken by Member States;	formal
Počas nasledujúcich štyridsiatich rokov sa objavilo niekoľko pokračovaní, väčšinou v Japonsku a Kórei. King Kong dostal príbuzných, klamal Godzillu a zničil Tokio niekoľkokrát.	Over the next forty years, several sequels appeared, mostly in Japan and Korea. King Kong got relatives, lied to Godzilla and destroyed Tokyo a couple of times.	formal
Starostlivosť o zvieratá bola vždy mojou vášňou a pracujem na tom, aby som mohla zachraňovať zvieratá v núdzi.	Caring for animals has always been a passion of mine and I am working to start my own rescue for animals in need.	formal
a) podporuje vytvorenie odvetví poľnohospodárstva a lesného hospodárstva, ktoré efektívne využívajú zdroje, sú hospodársky životaschopné, produktívne a konkurencieschopné, produkujú málo emisií, sú šetrné a odolné voči klíme, smerujú k agro-ekologickým výrobným systémom a fungujú v harmónii so základnými prírodnými zdrojmi, od ktorých poľnohospodárstvo a lesné hospodárstvo závisia;	(a) promote a resource efficient, economically viable, productive, competitive, low emission, climate friendly and resilient agricultural and forestry sector, progressing towards agro-ecological production systems and working in harmony with the essential natural resources on which farming and forestry depend;	formal
Zapojilo sa široké spektrum zainteresovaných strán, vrátane orgánov EÚ, medzinárodných finančných inštitúcií, politických inštitúcií a organizácií, makroregionálnych organizácií špecializujúcich sa na rôzne politické oblasti, regionálnych organizácií a mimovládnych organizácií a individuálnych regiónov a miest.	A wide range of stakeholders is involved, including: EU bodies; international financial institutions; political institutions and organisations; macro-regional organisations specialised in various policy areas; regional organisations and NGOs; and individual regions and cities.	formal
Keď pôjdete okolo, uvidíte veľkú skriňu napravo.	As you pass through, you'll see a large closet on the right.	formal
Vašou úlohou je zničiť všetky nepriateľské tanky na veľmi malom území.	Your task is to destroy all enemies located in a large area.	formal
Pravidlá inzercie Dating Factory si vyhrazuje právo inzercie na mymilfboss.za.net stránkach, nové vymoženosti na webových stránkach, propagáciu a produkty pre vylepšenie skúseností užívateľov.	Dating Factory reserves the right to advertise on the facegallery.com - facebook of handsome people pages, new website features, promotions and products to improve user experience.	formal
Je tiež potrebné, aby pochopenie finančnej dovoz amerického obchodu, ktorý Feničania zrejme zachovaná.	It is also necessary to understand the financial import of the American trade that Phoenicians seem to have maintained.	formal
Pacienti s miernou až stredne závažnou renálnou insuficienciou (klírens kreatinínu 45 - 79 ml/min) sa musia vyhnúť súbežnému podávania pemetrexedu s NSAID (napr. ibuprofén) alebo vyššej dávky kyseliny acetylsalicylovej 2 dni pred podaním, v deň podania a 2 dni po podaní pemetrexedu (pozri časť 4.4).	In patients with mild to moderate renal insufficiency (creatinine clearance from 45 to 79 ml/min), the concomitant administration of pemetrexed with NSAIDs (e.g. ibuprofen) or acetylsalicylic acidat higher dose should be avoided for 2 days before, on the day of, and 2 days following pemetrexed administration (see section 4.4).	formal
Určil limit alebo niečo podobné.	And set a limit or something.	informal
Zopui, aktuálne poveternostné podmienky	Zopui, current weather conditions	informal
"Ideálne pre kompletný s riadku ""Fantázie"" rocky váš rybník."	"Ideal to complete with the line ""Fantasies"" rocky your pond."	formal
- Áno, vo veľkej modrej obálke.	-Yes, a big blue envelope.	informal
Odroda Brigantine rastie do 2 m, je vzpriamená s priemernou schopnosťou tvoriť výhonky.	Variety Brigantine grows up to 2 m, is upright with an average ability to form shoots.	formal
Kladieme veľký dôraz na prípravu všetkých pokrmov z kvalitných surovín.	We place great emphasis on preparing all food from quality ingredients.	formal
Takýto nápoj vás v chladnej sezóne veľmi rýchlo zahreje.	Such a drink will very quickly warm you in the cold season.	formal
Výborný 4,5 / 5(53 skutočných hodnotení)Hotels.comTM RewardsZa každých 10 nocí získate 1 noc zdarma*!	Europa Executive Excellent 4.5 / 5(20 genuine reviews)Hotels.comTM RewardsFor every 10 nights, get 1 free*!	informal
Skúste sa obrátiť na technickú podporu spoločnosti ESET, ktorá vám pomôže s aktiváciou vášho bezpečnostného produktu ESET.	Alternatively, contact your local ESET partner to update your license and help you to activate your ESET product:	formal
Premena rôznych frakcií priemyselných odpadov na palivá v procese fluidného katalytického krakovania Hudec, P.	Transformation of different fractions of industrial wastes into fuels in process of fluid catalytic cracking Hudec, P.	formal
Takže môžeme ponúknuť surovým mäsom?	So can you offer raw meat?	informal
Rada guvernérov bude aj naďalej zabezpečovať pevné ukotvenie strednodobých inflačných očakávaní , ktoré je nevyhnutné na podporu udržateľného rastu , zamestnanosti a finančnej stability .	Such anchoring is indispensable to supporting sustainable growth and employment and contributes to financial stability .	formal
Poznámky o Zachovať právo na futbal pieseň - Slovenský	Comments on Keep Right On football song	informal
Kovový implantát je najdôležitejšie výkon tvárniacich strojov a leštenie, v očakávanej životnosti obdobia musí udržiavať funkcie, únava, opotrebenie, koróziou a vplyv zaťaženia nebude nižšia, titánu a titánových zliatin spĺňa všetky vyššie uvedené požiadavky.	Metal implant is the most important performance of the forming, machine and polishing, in the expected life period must maintain function, in the fatigue, wear, corrosion and impact load will not be inferior, titanium and titanium alloy to meet all the above requirements.	formal
Chcete vedieť viac?	Detail Want know more?	informal
